Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
354900,TC-Vote by Mail Reporting,658,204,31,41,142,3,1,17
354910,TC-Election Day Reporting,794,277,34.89,55,158,3,1,60
354910,TC-Vote by Mail Reporting,794,240,30.23,72,138,2,1,27
355000,TC-Election Day Reporting,690,214,31.01,53,120,4,,37
355000,TC-Vote by Mail Reporting,690,243,35.22,69,139,2,1,32
355100,TC-Election Day Reporting,1099,309,28.12,52,188,4,,65
355100,TC-Vote by Mail Reporting,1099,397,36.12,126,231,,2,38
356000,TC-Election Day Reporting,933,291,31.19,64,161,3,1,62
356000,TC-Vote by Mail Reporting,933,341,36.55,98,194,1,2,46
356200,TC-Election Day Reporting,963,287,29.8,66,172,6,,43
356200,TC-Vote by Mail Reporting,963,280,29.08,90,151,1,,38
356210,TC-Election Day Reporting,1050,365,34.76,99,208,3,1,54
356210,TC-Vote by Mail Reporting,1050,327,31.14,93,180,5,1,48
356500,TC-Election Day Reporting,1178,368,31.24,79,197,5,,87
356500,TC-Vote by Mail Reporting,1178,361,30.65,98,203,4,2,54
361100,TC-Election Day Reporting,565,202,35.75,32,118,2,,50
361100,TC-Vote by Mail Reporting,565,170,30.09,40,102,,,28
361130,TC-Election Day Reporting,521,186,35.7,31,123,2,,30
361130,TC-Vote by Mail Reporting,521,155,29.75,34,105,,,16
361200,TC-Election Day Reporting,971,378,38.93,70,254,3,,51
361200,TC-Vote by Mail Reporting,971,250,25.75,49,179,2,,20
361300,TC-Election Day Reporting,502,169,33.67,32,116,1,1,19
361300,TC-Vote by Mail Reporting,502,122,24.3,32,79,,,11
361500,TC-Election Day Reporting,1062,383,36.06,56,260,5,3,59
361500,TC-Vote by Mail Reporting,1062,291,27.4,70,197,3,,21
362100,TC-Election Day Reporting,619,239,38.61,39,167,5,,28
362100,TC-Vote by Mail Reporting,619,209,33.76,63,125,,,21
362110,TC-Election Day Reporting,1207,429,35.54,82,273,2,,72
362110,TC-Vote by Mail Reporting,1207,327,27.09,83,204,3,2,35
362300,TC-Election Day Reporting,853,307,35.99,49,199,2,1,56
362300,TC-Vote by Mail Reporting,853,313,36.69,54,226,2,2,29
362500,TC-Election Day Reporting,384,150,39.06,25,100,2,,23
362500,TC-Vote by Mail Reporting,384,108,28.13,25,75,,1,7
362510,TC-Election Day Reporting,901,344,38.18,70,221,2,,51
362510,TC-Vote by Mail Reporting,901,309,34.3,71,198,1,2,37
362600,TC-Election Day Reporting,971,369,38,93,219,2,,55
362600,TC-Vote by Mail Reporting,971,358,36.87,80,237,8,1,32
362800,TC-Election Day Reporting,1439,465,32.31,86,307,,,72
362800,TC-Vote by Mail Reporting,1439,635,44.13,140,412,2,,81
362900,TC-Election Day Reporting,780,351,45,64,229,4,2,52
362900,TC-Vote by Mail Reporting,780,204,26.15,48,133,2,2,19
363000,TC-Election Day Reporting,1264,451,35.68,84,301,11,,55
363000,TC-Vote by Mail Reporting,1264,366,28.96,73,249,4,3,37
363100,TC-Election Day Reporting,1166,438,37.56,67,291,3,3,74
363100,TC-Vote by Mail Reporting,1166,415,35.59,97,279,3,2,34
363200,TC-Election Day Reporting,682,245,35.92,47,156,4,1,37
363200,TC-Vote by Mail Reporting,682,221,32.4,57,142,4,2,16
363310,TC-Election Day Reporting,1330,481,36.17,90,327,3,2,59
363310,TC-Vote by Mail Reporting,1330,385,28.95,83,261,3,1,37
363600,TC-Election Day Reporting,1222,434,35.52,70,305,2,,57
363600,TC-Vote by Mail Reporting,1222,334,27.33,66,227,9,,32
